Бренд;Артикул;Назва;Посилання на фото
ANGEL;06025;"Дитяча пінка 3 в1 ""Від маківки до п'яточок"" 300 ml Jerelia ANGEL (06025)";https://cdn1.jerelia.com/Pictures/jerelia_06025_1_59179942.png
YASNA;08313;"Дитяча зубна паста ""Миле зайченя"". Від 1 року 50 ml Jerelia YASNA (08313)";https://cdn1.jerelia.com/Pictures/jerelia_08313_1.png
Be Healthy;09336;Дикий Ямс. Фітокомплекс для нормалізації гормонального балансу 60 capsules Jerelia Be Healthy (09336);https://cdn1.jerelia.com/Pictures/jerelia_09336_1.png
Ikra;00518;Денний крем-ліфтинг з колагеном 50 ml Jerelia Ikra (00518);https://cdn1.jerelia.com/Pictures/jerelia_00518_1_165247042.png
ROZKISHNA;00811;Денний крем з гіалуроновою кислотою та пептидним комплексом. Антивікова формула 50 ml Jerelia ROZKISHNA (00811);https://cdn1.jerelia.com/Pictures/jerelia_00811_1_165366340.png
YoUnique;05502;Денний крем анти-акне SPF-15. Матуючий ефект 50 ml Jerelia YoUnique (05502);https://cdn1.jerelia.com/Pictures/jerelia_05502_1.png
LaFemme;07802;Делікатний крем-гель для інтимної гігієни з пробіотиками 250 ml Jerelia LaFemme (07802);https://cdn1.jerelia.com/Pictures/jerelia_07802_1_101834585.png
ANGEL;06026;Делікатний засіб для  підмивання малюків 0+ 200 ml Jerelia ANGEL (06026);https://cdn1.jerelia.com/Pictures/jerelia_06026_1_59181827.png
LaFemme;07803;Дезодорант-антиперспірант жіночий з алое та лавандою 150 ml Jerelia LaFemme (07803);https://cdn1.jerelia.com/Pictures/jerelia_07803_1_120353879.png
SRIBNA-KHATA;16001;Дезінфікуючий засіб для взуття. З цитратом срібла 200 ml Jerelia SRIBNA-KHATA (16001);https://cdn1.jerelia.com/Pictures/jerelia_16001_1_162140521.png
Omega;23703;Двофазний спрей для кінчиків волосся. Spray for hair tips with Omega 150 ml Jerelia Omega (23703);https://cdn1.jerelia.com/Pictures/jerelia_23703_1.png
Be Healthy;09345;Гінкго Білоба. Фітокомплекс для покращення роботи мозку та здоров’я судин 60 capsules Jerelia Be Healthy (09345);https://cdn1.jerelia.com/Pictures/jerelia_09345_1.png
Be Healthy;09324;Гепостан. Фітокомплекс для очищення печінки 60 capsules Jerelia Be Healthy (09324);https://cdn1.jerelia.com/Pictures/jerelia_09324_1.png
Be Healthy;09338;Гельмінтол. Антипаразитарний комплекс 60 capsules Jerelia Be Healthy (09338);https://cdn1.jerelia.com/Pictures/jerelia_09338_1.png
YoUnique;05506;Гель-маска холодного гідрування 75 ml Jerelia YoUnique (05506);https://cdn1.jerelia.com/Pictures/jerelia_05506_1_82482424.png
Esse Balance;03603;Гель-маска матуюча для жирної шкіри 100 ml Jerelia Esse Balance (03603);https://cdn1.jerelia.com/Pictures/jerelia_03603_1.png
ROZKISHNA;00810;Гель для вмивання з гіалуроновою кислотою та екстрактом білого чаю. Антивікова формула 200 ml Jerelia ROZKISHNA (00810);https://cdn1.jerelia.com/Pictures/jerelia_00810_1_165366328.png
Oselya;52418;Гелевий засіб для миття унітазів 500 ml Oselya Jerelia (52418);https://cdn1.jerelia.com/Pictures/jerelia_52418_1_165593999.png
Be Healthy;09304;Вітамінно-мінеральний комплекс Energy life 30 capsules Jerelia Be Healthy (09304);https://cdn1.jerelia.com/Pictures/jerelia_09304_1.png
Be Healthy;09354;Вітамін С з ехінацеєю 60 pills Jerelia Be Healthy (09354);https://cdn1.jerelia.com/Pictures/jerelia_09354_1_74872304.png
Be Healthy;09323;Вітамін D3 для дітей 30 ml Jerelia Be Healthy (09323);https://cdn1.jerelia.com/Pictures/jerelia_09323_1.png
Be Healthy;09363;Вітамін D3 2000 ME 60 capsules Jerelia Be Healthy (09363);https://cdn1.jerelia.com/Pictures/jerelia_09363_1_99235291.png
BIOgenic Elements;08401;"Біокомплекс ""Цитрат срібла"" 100 ml Jerelia BIOgenic Elements (08401)";https://cdn1.jerelia.com/Pictures/jerelia_08401_1.png
BIOgenic Elements;08403;"Біокомплекс ""Протидіабетичний"" 100 ml Jerelia BIOgenic Elements (08403)";https://cdn1.jerelia.com/Pictures/jerelia_08403_1.png
BIOgenic Elements;08407;"Біокомплекс ""Антистрес"" 100 ml Jerelia BIOgenic Elements (08407)";https://cdn1.jerelia.com/Pictures/jerelia_08407_2.png
Hair System;06903;Бальзам проти випадіння волосся. Крок 3 250 ml Jerelia Hair System (06903);https://cdn1.jerelia.com/Pictures/jerelia_06903_1_94316936.png
Omega;23701;Бальзам для волосся. Omega hair balm 250 ml Jerelia Omega (23701);https://cdn1.jerelia.com/Pictures/jerelia_23701_1.png
Nature Therapy ;21813;"Антипедикульозний спеціалізований комплекс ""Permiteen"" 100 ml Jerelia Nature Therapy  (21813)";https://cdn1.jerelia.com/Pictures/jerelia_21813_1.png
YoUnique;05501;Антибактеріальний нічний крем з АНА-кислотами 50 ml Jerelia YoUnique (05501);https://cdn1.jerelia.com/Pictures/jerelia_05501_1.png
103;05612;Антибактеріальне мило 300 ml Jerelia 103 (05612);https://cdn1.jerelia.com/Pictures/jerelia_05612_1.png
WOW effect;05412;WOW сироватка-концентрат для обличчя. Антикупероз 30 ml Jerelia WOW effect (05412);https://cdn1.jerelia.com/Pictures/jerelia_05412_1.png
Be Healthy;09322;VENO-FIT.Природній венотонік 60 capsules Jerelia Be Healthy (09322);https://cdn1.jerelia.com/Pictures/jerelia_09322_1_148232845.png
Be Healthy;09350;Reglucell. Комплекс для зниження та контролю маси тіла 60 capsules Jerelia Be Healthy (09350);https://cdn1.jerelia.com/Pictures/jerelia_09350_1_64517122.png
Be Healthy;09364;NEPHR-ON. Фітокомплекс для профілактики запальних захворювань нирок і сечовідних шляхів. 60 capsules Jerelia Be Healthy (09364);https://cdn1.jerelia.com/Pictures/jerelia_09364_1_100957705.png
Be Healthy;09344;IMMUNOGEN.Фітокомплекс з противірусною та антибактеріальною активністю 60 capsules Jerelia Be Healthy (09344);https://cdn1.jerelia.com/Pictures/jerelia_09344_1_150472764.png
Be Healthy;09357;DETOXSLIM. Комплексне очищення організму та зниження ваги 150 g Jerelia Be Healthy (09357);https://cdn1.jerelia.com/Pictures/jerelia_09357_1_81899164.png
Be Healthy;08269;Detox. Очищення і нормалізація мікрофлори 150 g Jerelia Be Healthy (08269);https://cdn1.jerelia.com/Pictures/jerelia_08269_1_127353515.png
Be Healthy;08268;Detox. Зниження ваги та оздоровлення кишечника з Омега 3-6-9 150 g Jerelia Be Healthy (08268);https://cdn1.jerelia.com/Pictures/jerelia_08268_1_127353495.png
Nature Therapy ;21814;"""ХондроїтинФорте"". Крем-гель для суглобів 150 g Jerelia Nature Therapy  (21814)";https://cdn1.jerelia.com/Pictures/jerelia_21814_1_57328638.png
J’ERELIA;09278;"Зволожувальна помада для губ ""Королівський нюд"" 4,2 g Jerelia J’ERELIA (09278)";https://cdn1.jerelia.com/Pictures/jerelia_09278_1_111425633.png
PERFI LAB;06456;"Туалетна вода ""Fleur Narcotique"" 50 ml Jerelia PERFI LAB (06456)";https://cdn1.jerelia.com/Pictures/jerelia_06456_1_164553927.png
103;11020;Рідкий пластир 30 ml Jerelia 103 (11020);https://cdn1.jerelia.com/Pictures/jerelia_11020_1_112020719.png
El'curl;71676;Відновлюючий бустер для волосся 10 ml Jerelia El'curl (71676);https://cdn1.jerelia.com/Pictures/jerelia_71676_1_108911993.png
El'curl;71675;Бустер для живлення волосся та захисту від UV 10 ml Jerelia El'curl (71675);https://cdn1.jerelia.com/Pictures/jerelia_71675_1_108912023.png
El'curl;71674;Бустер для волосся проти ламкості та посічених кінчиків 10 ml Jerelia El'curl (71674);https://cdn1.jerelia.com/Pictures/jerelia_71674_1_108912057.png
SPA;21538;Антицелюлітний скраб для тіла з арнікою і гамамелісом 200 ml Jerelia SPA (21538);https://cdn1.jerelia.com/Pictures/jerelia_21538_1.png
PERFI LAB;06414;Пробник туалетної води Emotion code for man 1,5 ml Jerelia PERFI LAB (06414);https://cdn1.jerelia.com/Pictures/jerelia_06414_1.png
PERFI LAB;06415;Пробник туалетної води Emotion code for woman 1,5 ml Jerelia PERFI LAB (06415);https://cdn1.jerelia.com/Pictures/jerelia_06415_1.png
PERFI LAB;06426;Пробник туалетної води для жінок ROKSOLANA 2.0. 1,5 ml Jerelia PERFI LAB (06426);https://cdn1.jerelia.com/Pictures/jerelia_06426_1.png
PERFI LAB;06427;Пробник туалетної води для жінок SOLOMIA 2.0. 1,5 ml Jerelia PERFI LAB (06427);https://cdn1.jerelia.com/Pictures/jerelia_06427_1.png
PERFI LAB;06430;Пробник туалетної води для жінок R'n'B 1,5 ml Jerelia PERFI LAB (06430);https://cdn1.jerelia.com/Pictures/jerelia_06430_1.png
PERFI LAB;06431;Пробник туалетної води для чоловіків R'n'B 1,5 ml Jerelia PERFI LAB (06431);https://cdn1.jerelia.com/Pictures/jerelia_06431_1.png
PERFI LAB;06455;"Пробник туалетної води ""Fleur Narcotique"" 1,5 ml Jerelia PERFI LAB (06455)";https://cdn1.jerelia.com/Pictures/jerelia_06455_1_61393298.png
PERFI LAB;06480;"Пробник парфумованої води ""FREYA"" 1,5 ml Jerelia PERFI LAB (06480)";https://cdn1.jerelia.com/Pictures/jerelia_06480_1_95543016.png
PERFI LAB;06481;"Пробник парфумованої води ""FLORINE"" 1,5 ml Jerelia PERFI LAB (06481)";https://cdn1.jerelia.com/Pictures/jerelia_06481_1_95543046.png
PERFI LAB;06482;"Пробник парфумованої води ""Life Essence"" 1,5 ml Jerelia PERFI LAB (06482)";https://cdn1.jerelia.com/Pictures/jerelia_06482_1_95543073.png
PERFI LAB;06483;"Пробник парфумованої води ""Passion"" 1,5 ml Jerelia PERFI LAB (06483)";https://cdn1.jerelia.com/Pictures/jerelia_06483_1_95543218.png
PERFI LAB;06484;"Пробник парфумованої води ""AMORE"" 1,5 ml Jerelia PERFI LAB (06484)";https://cdn1.jerelia.com/Pictures/jerelia_06484_1_95543108.png
PERFI LAB;06485;"Пробник парфумованої води ""Julietta"" 1,5 ml Jerelia PERFI LAB (06485)";https://cdn1.jerelia.com/Pictures/jerelia_06485_1_95543248.png
PERFI LAB;06486;"Пробник парфумованої води ""ONE CANDY"" 1,5 ml Jerelia PERFI LAB (06486)";https://cdn1.jerelia.com/Pictures/jerelia_06486_1_95543137.png
PERFI LAB;06487;"Пробник парфумованої води ""Artemida"" 1,5 ml Jerelia PERFI LAB (06487)";https://cdn1.jerelia.com/Pictures/jerelia_06487_1_95543268.png
PERFI LAB;06488;"Пробник парфумованої води ""Hypnotic"" 1,5 ml Jerelia PERFI LAB (06488)";https://cdn1.jerelia.com/Pictures/jerelia_06488_1_95543194.png
PERFI LAB;06489;"Пробник парфумованої води ""Kiss me"" 1,5 ml Jerelia PERFI LAB (06489)";https://cdn1.jerelia.com/Pictures/jerelia_06489_1_95543161.png
PERFI LAB;06490;"Пробник парфумованої води ""Intensity sport"" 1,5 ml Jerelia PERFI LAB (06490)";https://cdn1.jerelia.com/Pictures/jerelia_06490_1_95543304.png
PERFI LAB;06491;"Пробник парфумованої води ""VETIVER"" 1,5 ml Jerelia PERFI LAB (06491)";https://cdn1.jerelia.com/Pictures/jerelia_06491_1_95543324.png
PERFI LAB;06492;"Пробник парфумованої води ""Вlue ice"" 1,5 ml Jerelia PERFI LAB (06492)";https://cdn1.jerelia.com/Pictures/jerelia_06492_1_95543346.png
PERFI LAB;06493;"Пробник парфумованої води ""Сourage"" 1,5 ml Jerelia PERFI LAB (06493)";https://cdn1.jerelia.com/Pictures/jerelia_06493_1_95543370.png
PERFI LAB;06494;"Пробник парфумованої води ""Egoiste"" 1,5 ml Jerelia PERFI LAB (06494)";https://cdn1.jerelia.com/Pictures/jerelia_06494_1_95543392.png
PERFI LAB;24125;Пробник парфумованої води VILNA 1,5 ml Jerelia PERFI LAB (24125);https://cdn1.jerelia.com/Pictures/jerelia_24125_1_107191407.png
PERFI LAB;24126;Пробник парфумованої води LELIA 1,5 ml Jerelia PERFI LAB (24126);https://cdn1.jerelia.com/Pictures/jerelia_24126_1_107191608.png
Prochee;09933;Свічка ароматизована в кашпо 1 pcs Jerelia Prochee (09933);https://cdn1.jerelia.com/Pictures/jerelia_09933_2_156801563.png
LAKSMI;24411;Ефірна олія евкаліпта 10 ml Jerelia LAKSMI (24411);https://cdn1.jerelia.com/Pictures/jerelia_24411_1_118114835.png
LAKSMI;24412;Ефірна олія естрагону 10 ml Jerelia LAKSMI (24412);https://cdn1.jerelia.com/Pictures/jerelia_24412_1_118114870.png
LAKSMI;24413;Ефірна олія кориці 10 ml Jerelia LAKSMI (24413);https://cdn1.jerelia.com/Pictures/jerelia_24413_1_118114907.png
LAKSMI;24420;Ефірна олія Лавандіни 10 ml Jerelia LAKSMI (24420);https://cdn1.jerelia.com/Pictures/jerelia_24420_1_118114935.png
LAKSMI;24414;Ефірна олія лемонграсу 10 ml Jerelia LAKSMI (24414);https://cdn1.jerelia.com/Pictures/jerelia_24414_1_118114952.png
LAKSMI;24415;Ефірна олія мандарину 10 ml Jerelia LAKSMI (24415);https://cdn1.jerelia.com/Pictures/jerelia_24415_1_118114969.png
LAKSMI;24416;Ефірна олія Рожевого дерева 10 ml Jerelia LAKSMI (24416);https://cdn1.jerelia.com/Pictures/jerelia_24416_1_118114988.png
LAKSMI;24417;Ефірна олія санталу 10 ml Jerelia LAKSMI (24417);https://cdn1.jerelia.com/Pictures/jerelia_24417_1_118115009.png
LAKSMI;24418;Ефірна олія шавлії мускатної 10 ml Jerelia LAKSMI (24418);https://cdn1.jerelia.com/Pictures/jerelia_24418_1_118115032.png
LAKSMI;24419;Ефірна олія ялівцю 10 ml Jerelia LAKSMI (24419);https://cdn1.jerelia.com/Pictures/jerelia_24419_1_118115051.png
WIN;24301;Шампунь-кондиціонер 2 в 1 з екстрактом женшеню та ментолом 250 ml Jerelia WIN (24301);https://cdn1.jerelia.com/Pictures/jerelia_24301_1_126533038.png
WIN;24302;Гель для душу тонізуючий з екстрактом женьшеню та кофеїном 250 ml Jerelia WIN (24302);https://cdn1.jerelia.com/Pictures/jerelia_24302_1_135335731.png
WIN;24303;Зволожуючий крем для гоління 100 ml Jerelia WIN (24303);https://cdn1.jerelia.com/Pictures/jerelia_24303_1_120354213.png
WIN;24305;Шампунь-кондиціонер 2 в 1 з екстрактами шавлії та ламінарії 250 ml Jerelia WIN (24305);https://cdn1.jerelia.com/Pictures/jerelia_24305_1_126533018.png
WIN;24306;Гель для душу з канабісом та ефірною олією лайма 250 ml Jerelia WIN (24306);https://cdn1.jerelia.com/Pictures/jerelia_24306_1_126532994.png
Be Healthy;09377;"Дієтична добавка ""Панкреатон"" 60 pcs Jerelia Be Healthy (09377)";https://cdn1.jerelia.com/Pictures/jerelia_09377_1_119187124.png
Ikra;00533;Нічна маска з ліфтинг ефектом 50 ml Jerelia Ikra (00533);https://cdn1.jerelia.com/Pictures/jerelia_00533_1_165247160.png
Skin Lab;24201;Активний освітлюючий денний крем з SPF30 50 ml Jerelia Skin Lab (24201);https://cdn1.jerelia.com/Pictures/jerelia_24201_1_163180356.png
Skin Lab;24202;Відновлювальний освітлюючий нічний крем 50 ml Jerelia Skin Lab (24202);https://cdn1.jerelia.com/Pictures/jerelia_24202_1_163180377.png
Skin Lab;24203;Освітлююча сироватка з вітаміном С та ніацинамідом 30 ml Jerelia Skin Lab (24203);https://cdn1.jerelia.com/Pictures/jerelia_24203_1_163180426.png
Skin Lab;24204;Освітлюючий крем для шкіри навколо очей 15 ml Jerelia Skin Lab (24204);https://cdn1.jerelia.com/Pictures/jerelia_24204_1_163180447.png
Skin Lab;24205;Тонік для освітлення та рівного тону шкіри 200 ml Jerelia Skin Lab (24205);https://cdn1.jerelia.com/Pictures/jerelia_24205_1_163180469.png
Skin Lab;24206;Очищувальний гель для вмивання з ефектом вирівнювання тону обличчя 200 ml Jerelia Skin Lab (24206);https://cdn1.jerelia.com/Pictures/jerelia_24206_1_163180490.png
Skin Lab;24207;Освітлююча маска інтенсивної дії 50 ml Jerelia Skin Lab (24207);https://cdn1.jerelia.com/Pictures/jerelia_24207_1_163180564.png
Skin Lab;24208;"Пробник ""Активний освітлюючий денний крем з SPF30"" 3 ml Jerelia Skin Lab (24208)";https://cdn1.jerelia.com/Pictures/jerelia_24208_1_163520109.png
Skin Lab;24209;"Пробник ""Відновлювальний освітлюючий нічний крем"" 3 ml Jerelia Skin Lab (24209)";https://cdn1.jerelia.com/Pictures/jerelia_24209_1_163520126.png
Skin Lab;24210;"Пробник ""Освітлюючий крем для шкіри навколо очей"" 3 ml Jerelia Skin Lab (24210)";https://cdn1.jerelia.com/Pictures/jerelia_24210_1_163520137.png
Skin Lab;24211;"Пробник""Освітлююча маска інтинсивної дії"" 3 ml Jerelia Skin Lab (24211)";https://cdn1.jerelia.com/Pictures/jerelia_24211_1_163520150.png
Skin Lab;24212;"Пробник ""Освітлююча сироватка з вітаміном С та ніацинамідом"" 3 ml Jerelia Skin Lab (24212)";https://cdn1.jerelia.com/Pictures/jerelia_24212_1_163520164.png
J’ERELIA;09285;Туш для вій об'ємна GLAM  XXL VOLUME 10 ml Jerelia J’ERELIA (09285);https://cdn1.jerelia.com/Pictures/jerelia_09285_1_126369236.png
J’ERELIA;09286;Туш з ефектом подовження вій 3 in 1 MAXI EFFECT 10 ml Jerelia J’ERELIA (09286);https://cdn1.jerelia.com/Pictures/jerelia_09286_1_126369262.png
PRO Slim;24501;"Протеїново-мінеральний коктейль ""Шоколадний десерт"" 420 g Jerelia PRO Slim (24501)";https://cdn1.jerelia.com/Pictures/jerelia_24501_1_129567489.png
PRO Slim;24502;"Протеїново-мінеральний коктейль ""Полуничний шейк"" 420 g Jerelia PRO Slim (24502)";https://cdn1.jerelia.com/Pictures/jerelia_24502_1_129567555.png
Skin Lab;24227;Розгладжуючий денний крем-філлер з SPF 25 50 ml Jerelia Skin Lab (24227);https://cdn1.jerelia.com/Pictures/jerelia_24227_1_163180988.png
Skin Lab;24228;Регенеруючий підтягуючий нічний крем з ретинолом 50 ml Jerelia Skin Lab (24228);https://cdn1.jerelia.com/Pictures/jerelia_24228_1_163181153.png
Skin Lab;24224;Антиоксидантна омолоджуюча сироватка 30 ml Jerelia Skin Lab (24224);https://cdn1.jerelia.com/Pictures/jerelia_24224_1_163180947.png
Skin Lab;24229;Ліфтинг-есенція для зони навколо очей 15 ml Jerelia Skin Lab (24229);https://cdn1.jerelia.com/Pictures/jerelia_24229_1_163181172.png
Skin Lab;24222;Антиоксидантний тонер-есенція 200 ml Jerelia Skin Lab (24222);https://cdn1.jerelia.com/Pictures/jerelia_24222_1_163180912.png
Skin Lab;24221;Пептидне омолоджуюче молочко для вмивання 200 ml Jerelia Skin Lab (24221);https://cdn1.jerelia.com/Pictures/jerelia_24221_1_163180881.png
Skin Lab;24233;"Пробник ""Антиоксидантна омолоджуюча сироватка"" 3 ml Jerelia Skin Lab (24233)";https://cdn1.jerelia.com/Pictures/jerelia_24233_1_163519990.png
Skin Lab;24234;"Пробник ""Розгладжуючий денний крем-філлер"" 3 ml Jerelia Skin Lab (24234)";https://cdn1.jerelia.com/Pictures/jerelia_24234_1_163520006.png
Skin Lab;24235;"Пробник ""Ліфтинг-есенція для зони навколо очей"" 3 ml Jerelia Skin Lab (24235)";https://cdn1.jerelia.com/Pictures/jerelia_24235_1_163520017.png
Skin Lab;24236;"Пробник ""Регенеруючий підтягуючий нічний крем з ретинолом"" 3 ml Jerelia Skin Lab (24236)";https://cdn1.jerelia.com/Pictures/jerelia_24236_1_163520030.png
PERFI LAB;06433;Парфумована  вода для жінок J'erelina 50 ml Jerelia PERFI LAB (06433);https://cdn1.jerelia.com/Pictures/jerelia_06433_1_138314049.png
PERFI LAB;24134;Пробник парфумованої  води для жінок J'erelina 1,5 ml Jerelia PERFI LAB (24134);https://cdn1.jerelia.com/Pictures/jerelia_24134_1_138716348.png
PERFI LAB;24128;Парфумована вода Moulin Rouge 50 ml Jerelia PERFI LAB (24128);https://cdn1.jerelia.com/Pictures/jerelia_24128_1_138314075.png
PERFI LAB;24129;Парфумована вода Kalliroi 55 ml Jerelia PERFI LAB (24129);https://cdn1.jerelia.com/Pictures/jerelia_24129_1_138314096.png
PERFI LAB;24130;Пробник парфумованої води Moulin Rouge 1,5 ml Jerelia PERFI LAB (24130);https://cdn1.jerelia.com/Pictures/jerelia_24130_1_138313342.png
4seasons;06805;Сонцезахисний лосьйон для тіла SPF 30 150 ml Jerelia 4seasons (06805);https://cdn1.jerelia.com/Pictures/jerelia_06805_1.png
4seasons;06804;Дитячий сонцезахисний лосьйон з алое та молочними протеїнами SPF 35 150 ml Jerelia 4seasons (06804);https://cdn1.jerelia.com/Pictures/jerelia_06804_1.png
Skin Lab;24217;Екстразволожуючий денний крем з церамідами SPF 30 50 ml Jerelia Skin Lab (24217);https://cdn1.jerelia.com/Pictures/jerelia_24217_1_163180751.png
Skin Lab;24216;Ультразволожуюча сироватка-бустер 30 ml Jerelia Skin Lab (24216);https://cdn1.jerelia.com/Pictures/jerelia_24216_1_163180670.png
Skin Lab;24215;Про-колагеновий зволожуючий  тонер 200 ml Jerelia Skin Lab (24215);https://cdn1.jerelia.com/Pictures/jerelia_24215_1_163180650.png
Skin Lab;24214;Про-колагеновий зволожуючий гель-шовк  для вмивання 200 ml Jerelia Skin Lab (24214);https://cdn1.jerelia.com/Pictures/jerelia_24214_1_163180629.png
Skin Lab;24219;Зволожуюча крем-маска для шкіри навколо очей та губ 15 ml Jerelia Skin Lab (24219);https://cdn1.jerelia.com/Pictures/jerelia_24219_1_163180823.png
Skin Lab;24218;Регенеруючий  кислотний гель-пілінг потрійної дії 30 ml Jerelia Skin Lab (24218);https://cdn1.jerelia.com/Pictures/jerelia_24218_1_163180772.png
Skin Lab;24220;Колагеностимулююча нічна крем-маска з колагеном 50 ml Jerelia Skin Lab (24220);https://cdn1.jerelia.com/Pictures/jerelia_24220_1_163180856.png
Skin Lab;24237;"Пробник ""Ультразволожуюча сироватка-бустер "" 3 ml Jerelia Skin Lab (24237)";https://cdn1.jerelia.com/Pictures/jerelia_24237_1_163520326.png
Skin Lab;24241;"Пробник ""Регенеруючий  кислотний гель-пілінг потрійної дії"" 3 ml Jerelia Skin Lab (24241)";https://cdn1.jerelia.com/Pictures/jerelia_24241_1_163520377.png
Skin Lab;24240;"Пробник ""Зволожуюча крем-маска для шкіри навколо очей та губ"" 3 ml Jerelia Skin Lab (24240)";https://cdn1.jerelia.com/Pictures/jerelia_24240_1_163520361.png
Skin Lab;24238;"Пробник ""Колагеностимулююча нічна крем-маска з колагеном"" 3 ml Jerelia Skin Lab (24238)";https://cdn1.jerelia.com/Pictures/jerelia_24238_1_163520337.png
Skin Lab;24239;"Пробник ""Екстразволожуючий денний крем з церамідами SPF 30"" 3 ml Jerelia Skin Lab (24239)";https://cdn1.jerelia.com/Pictures/jerelia_24239_1_163520350.png
PERFI LAB;24135;GINGER WOODY (Ж) (Пластик) 50 ml Jerelia PERFI LAB (24135);https://cdn1.jerelia.com/Pictures/jerelia_24135_1_145631226.png
PERFI LAB;24146;CITRUS GREEN APPLE (Ж) (Пластик) 50 ml Jerelia PERFI LAB (24146);https://cdn1.jerelia.com/Pictures/jerelia_24146_1_145631244.png
PERFI LAB;24156;MINT VANILLA (Ж) (Пластик) 50 ml Jerelia PERFI LAB (24156);https://cdn1.jerelia.com/Pictures/jerelia_24156_1_145631263.png
PERFI LAB;24168;MUSKY TUBEROSE (Ж) (Пластик) 50 ml Jerelia PERFI LAB (24168);https://cdn1.jerelia.com/Pictures/jerelia_24168_1_145631283.png
PERFI LAB;24136;AQUATIC LIME (Ж) 50 ml Jerelia PERFI LAB (24136);https://cdn1.jerelia.com/Pictures/jerelia_24136_1_144553456.png
PERFI LAB;24137;AMBER CITRUS (Ж) 50 ml Jerelia PERFI LAB (24137);https://cdn1.jerelia.com/Pictures/jerelia_24137_1_144553559.png
PERFI LAB;24144;WOODY OAKMOSS (Ж) 50 ml Jerelia PERFI LAB (24144);https://cdn1.jerelia.com/Pictures/jerelia_24144_1_144553871.png
PERFI LAB;24147;CITRUS PEONY (Ж) 50 ml Jerelia PERFI LAB (24147);https://cdn1.jerelia.com/Pictures/jerelia_24147_1_144553696.png
PERFI LAB;24142;CITRUS GINGER (Ч) 50 ml Jerelia PERFI LAB (24142);https://cdn1.jerelia.com/Pictures/jerelia_24142_1_144554453.png
PERFI LAB;24154;SPICY VETIVER (Ч) 50 ml Jerelia PERFI LAB (24154);https://cdn1.jerelia.com/Pictures/jerelia_24154_1_144554563.png
PERFI LAB;24149;CARAMELIZED TOBACCO (У) (Книжка) 35 ml Jerelia PERFI LAB (24149);https://cdn1.jerelia.com/Pictures/jerelia_24149_1_144865977.png
PERFI LAB;24157;AMBERY TUBEROSE (Ж) (Книжка) 35 ml Jerelia PERFI LAB (24157);https://cdn1.jerelia.com/Pictures/jerelia_24157_1_144859301.png
PERFI LAB;24162;OUD FRUIT (Ч) (Книжка) 35 ml Jerelia PERFI LAB (24162);https://cdn1.jerelia.com/Pictures/jerelia_24162_1_144859421.png
PERFI LAB;24165;POWDERY TOBACCO (У) (Книжка) 35 ml Jerelia PERFI LAB (24165);https://cdn1.jerelia.com/Pictures/jerelia_24165_1_144859553.png
PERFI LAB;24166;SPICY ORCHID (Ж) (Книжка) 35 ml Jerelia PERFI LAB (24166);https://cdn1.jerelia.com/Pictures/jerelia_24166_1_144859741.png
PERFI LAB;24152;CITRUS ORCHID (Ж) (Пластик) 50 ml Jerelia PERFI LAB (24152);https://cdn1.jerelia.com/Pictures/jerelia_24152_1_145631118.png
PERFI LAB;24155;PEACH OSMANTUS (Ж) (Пластик) 50 ml Jerelia PERFI LAB (24155);https://cdn1.jerelia.com/Pictures/jerelia_24155_1_145631141.png
PERFI LAB;24163;CITRUS TEA (Ж) (Пластик) 50 ml Jerelia PERFI LAB (24163);https://cdn1.jerelia.com/Pictures/jerelia_24163_1_145631163.png
PERFI LAB;24164;FLORAL SANDALWOOD (Ж) (Пластик) 50 ml Jerelia PERFI LAB (24164);https://cdn1.jerelia.com/Pictures/jerelia_24164_1_145631181.png
PERFI LAB;24148;PEACH ROSE (Ж) 50 ml Jerelia PERFI LAB (24148);https://cdn1.jerelia.com/Pictures/jerelia_24148_1_145627935.png
PERFI LAB;24150;POWDERY NEROLI (Ж) 50 ml Jerelia PERFI LAB (24150);https://cdn1.jerelia.com/Pictures/jerelia_24150_1_165594984.png
PERFI LAB;24151;CITRUS NEROLI (Ж) 50 ml Jerelia PERFI LAB (24151);https://cdn1.jerelia.com/Pictures/jerelia_24151_1_148927951.png
PERFI LAB;24153;FOUGERE PINK PEPPER (Ж) 50 ml Jerelia PERFI LAB (24153);https://cdn1.jerelia.com/Pictures/jerelia_24153_1_148927979.png
PERFI LAB;24138;WOODY JEAN (Ч) 50 ml Jerelia PERFI LAB (24138);https://cdn1.jerelia.com/Pictures/jerelia_24138_1_146327005.png
PERFI LAB;24139;PASSION VANILLA (Ж) 50 ml Jerelia PERFI LAB (24139);https://cdn1.jerelia.com/Pictures/jerelia_24139_1_146328237.png
PERFI LAB;24140;FRUITY ALMOND (Ж) 50 ml Jerelia PERFI LAB (24140);https://cdn1.jerelia.com/Pictures/jerelia_24140_1_146328481.png
PERFI LAB;24141;SPICY WOOD (Ч) 50 ml Jerelia PERFI LAB (24141);https://cdn1.jerelia.com/Pictures/jerelia_24141_1_146328814.png
PERFI LAB;24160;GINGER VETIVER (У) 50 ml Jerelia PERFI LAB (24160);https://cdn1.jerelia.com/Pictures/jerelia_24160_1_146329250.png
PERFI LAB;24161;FOUGERE FLOWER (У) 50 ml Jerelia PERFI LAB (24161);https://cdn1.jerelia.com/Pictures/jerelia_24161_1_146329541.png
